매출일자,품명,수량
20030526,아침식사,45.55956679
20030526,점심식사,51.19133574
20030526,저녁식사,24.18772563
20030527,아침식사,53.21299639
20030527,점심식사,55.09025271
20030527,저녁식사,30.32490975
20030528,아침식사,50.39711191
20030528,점심식사,53.71841155
20030528,저녁식사,20.433213
20030529,아침식사,54.07942238
20030529,점심식사,53.64620939
20030529,저녁식사,20.2166065
20030530,아침식사,43.46570397
20030530,점심식사,34.15162455
20030530,저녁식사,13.93501805
20030531,아침식사,40
20030531,점심식사,28.73646209
20030531,저녁식사,16.46209386
20030601,아침식사,43.39350181
20030601,점심식사,26.93140794
20030601,저녁식사,22.23826715
20030602,아침식사,50.32490975
20030602,점심식사,58.12274368
20030602,저녁식사,21.66064982
20030603,아침식사,49.53068592
20030603,점심식사,59.20577617
20030603,저녁식사,20.07220217
20030604,아침식사,50.68592058
20030604,점심식사,52.20216606
20030604,저녁식사,20.07220217
20030605,아침식사,49.67509025
20030605,점심식사,49.09747292
20030605,저녁식사,15.01805054
20030606,아침식사,40.14440433
20030606,점심식사,26.20938628
20030606,저녁식사,20.86642599
20030607,아침식사,46.35379061
20030607,점심식사,30.54151625
20030607,저녁식사,16.96750903
20030608,아침식사,37.03971119
20030608,점심식사,24.62093863
20030608,저녁식사,18.91696751
20030609,아침식사,46.35379061
20030609,점심식사,54.72924188
20030609,저녁식사,21.58844765
20030610,아침식사,45.99277978
20030610,점심식사,47.94223827
20030610,저녁식사,24.69314079
20030611,아침식사,46.06498195
20030611,점심식사,47.4368231
20030611,저녁식사,20.86642599
20030612,아침식사,41.58844765
20030612,점심식사,43.8267148
20030612,저녁식사,25.41516245
20030614,아침식사,43.03249097
20030614,점심식사,33.21299639
20030614,저녁식사,15.5234657
20030615,아침식사,43.32129964
20030615,점심식사,24.54873646
20030615,저녁식사,20.72202166
20030616,아침식사,52.20216606
20030616,점심식사,52.99638989
20030616,저녁식사,24.18772563
20030617,아침식사,48.95306859
20030617,점심식사,56.82310469
20030617,저녁식사,18.19494585
20030618,아침식사,48.88086643
20030618,점심식사,54.80144404
20030618,저녁식사,23.53790614
20030619,아침식사,45.12635379
20030619,점심식사,34.87364621
20030619,저녁식사,19.63898917
20030620,아침식사,46.35379061
20030620,점심식사,52.05776173
20030620,저녁식사,17.18411552
20030621,아침식사,42.38267148
20030621,점심식사,30.32490975
20030621,저녁식사,14.80144404
20030622,아침식사,41.73285199
20030622,점심식사,30.03610108
20030622,저녁식사,17.97833935
20030623,아침식사,50.18050542
20030623,점심식사,45.84837545
20030623,저녁식사,25.48736462
20030624,아침식사,45.12635379
20030624,점심식사,55.7400722
20030624,저녁식사,20.57761733
20030625,아침식사,45.77617329
20030625,점심식사,53.21299639
20030625,저녁식사,20.28880866
20030626,아침식사,44.2599278
20030626,점심식사,55.37906137
20030626,저녁식사,16.10108303
20030627,아침식사,41.66064982
20030627,점심식사,40.07220217
20030627,저녁식사,14.58483755
20030628,아침식사,40
20030628,점심식사,32.99638989
20030628,저녁식사,24.11552347
20030629,아침식사,38.48375451
20030629,점심식사,33.50180505
20030629,저녁식사,20.57761733
20030630,아침식사,45.92057762
20030630,점심식사,51.98555957
20030630,저녁식사,17.83393502
20030701,아침식사,39.92779783
20030701,점심식사,65.63176895
20030701,저녁식사,21.44404332
20030702,아침식사,48.23104693
20030702,점심식사,44.11552347
20030702,저녁식사,19.63898917
20030703,아침식사,40.433213
20030703,점심식사,55.16245487
20030703,저녁식사,20.72202166
20030704,아침식사,48.3032491
20030704,점심식사,55.7400722
20030704,저녁식사,18.62815884
20030705,아침식사,38.84476534
20030705,점심식사,29.45848375
20030705,저녁식사,29.31407942
20030706,아침식사,40.72202166
20030706,점심식사,23.24909747
20030706,저녁식사,15.66787004
20030707,아침식사,46.57039711
20030707,점심식사,52.5631769
20030707,저녁식사,23.10469314
20030708,아침식사,48.80866426
20030708,점심식사,49.45848375
20030708,저녁식사,20.28880866
20030709,아침식사,44.69314079
20030709,점심식사,48.01444043
20030709,저녁식사,22.16606498
20030710,아침식사,43.8267148
20030710,점심식사,52.5631769
20030710,저녁식사,19.35018051
20030711,아침식사,45.27075812
20030711,점심식사,45.05415162
20030711,저녁식사,19.20577617
20030712,아침식사,43.10469314
20030712,점심식사,34.58483755
20030712,저녁식사,28.66425993
20030713,아침식사,35.37906137
20030713,점심식사,26.20938628
20030713,저녁식사,20.433213
20030714,아침식사,45.70397112
20030714,점심식사,60.433213
20030714,저녁식사,23.68231047
20030715,아침식사,46.71480144
20030715,점심식사,47.8700361
20030715,저녁식사,20.57761733
20030716,아침식사,46.35379061
20030716,점심식사,60.72202166
20030716,저녁식사,20.433213
20030717,아침식사,38.77256318
20030717,점심식사,28.44765343
20030717,저녁식사,20.72202166
20030718,아침식사,44.0433213
20030718,점심식사,43.89891697
20030718,저녁식사,20.28880866
20030719,아침식사,38.77256318
20030719,점심식사,34.44043321
20030719,저녁식사,17.47292419
20030720,아침식사,38.05054152
20030720,점심식사,30.25270758
20030720,저녁식사,14.65703971
20030721,아침식사,40.433213
20030721,점심식사,55.7400722
20030721,저녁식사,26.57039711
20030722,아침식사,45.63176895
20030722,점심식사,51.19133574
20030722,점심식사1,83.03249097
20030722,저녁식사,21.94945848
20030723,아침식사,44.18772563
20030723,점심식사,55.45126354
20030723,저녁식사,24.76534296
20030724,아침식사,48.3032491
20030724,점심식사,53.71841155
20030724,저녁식사,26.35379061
20030725,아침식사,44.33212996
20030725,점심식사,48.88086643
20030725,저녁식사,23.32129964
20030726,아침식사,45.48736462
20030726,점심식사,34.29602888
20030726,저녁식사,18.12274368
20030727,아침식사,41.66064982
20030727,점심식사,29.09747292
20030727,저녁식사,18.55595668
20030728,아침식사,43.97111913
20030728,점심식사,50.68592058
20030728,저녁식사,24.4765343
20030729,아침식사,40.93862816
20030729,점심식사,50.68592058
20030729,저녁식사,22.96028881
20030730,아침식사,48.01444043
20030730,점심식사,51.55234657
20030730,저녁식사,24.18772563
20030731,아침식사,47.14801444
20030731,점심식사,55.81227437
20030731,저녁식사,23.24909747
20030801,아침식사,46.20938628
20030801,점심식사,55.37906137
20030801,저녁식사,23.39350181
20030802,아침식사,43.46570397
20030802,점심식사,43.32129964
20030802,저녁식사,35.9566787
20030803,아침식사,44.2599278
20030803,점심식사,28.0866426
20030803,저녁식사,27.72563177
20030804,아침식사,43.68231047
20030804,점심식사,52.5631769
20030804,저녁식사,27.79783394
20030805,아침식사,49.02527076
20030805,점심식사,54.22382671
20030805,저녁식사,25.84837545
20030806,아침식사,44.4765343
20030806,점심식사,54.72924188
20030806,저녁식사,40
20030807,아침식사,45.41516245
20030807,점심식사,44.98194946
20030807,저녁식사,23.68231047
20030808,아침식사,42.59927798
20030808,점심식사,50.25270758
20030808,저녁식사,24.62093863
20030809,아침식사,41.80505415
20030809,점심식사,37.97833935
20030809,저녁식사,19.63898917
20030810,아침식사,38.91696751
20030810,점심식사,25.41516245
20030810,저녁식사,25.70397112
20030811,아침식사,45.63176895
20030811,점심식사,55.30685921
20030811,저녁식사,28.95306859
20030812,아침식사,49.89169675
20030812,점심식사,61.01083032
20030812,저녁식사,32.41877256
20030813,아침식사,52.20216606
20030813,점심식사,56.3898917
20030813,저녁식사,26.93140794
20030814,아침식사,47.6534296
20030814,점심식사,47.36462094
20030814,저녁식사,21.94945848
20030815,아침식사,42.23826715
20030815,점심식사,28.0866426
20030815,저녁식사,21.15523466
20030816,아침식사,41.37184116
20030816,점심식사,41.94945848
